date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:39	70526/70526	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2018:38:38%20GMT	https://codingeek.net/html/gazania/	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/index.html	(from )
22:38:39	76/76	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Jun%202020%2018:38:38%20GMT	https://codingeek.net/robots.txt		(from )
22:38:40	4426/4426	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202020%2003:00:44%20GMT	https://codingeek.net/html/gazania/assets/img/favicon.png	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/favicon.png	(from https://codingeek.net/html/gazania/)
22:38:40	269254/269254	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2003:00:17%20GMT	https://codingeek.net/html/gazania/assets/css/css-plugins.css	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/css/css-plugins.css	(from https://codingeek.net/html/gazania/)
22:38:40	46983/46983	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2003:00:14%20GMT	https://codingeek.net/html/gazania/assets/css/all-icon-font.css	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/css/all-icon-font.css	(from https://codingeek.net/html/gazania/)
22:38:40	160119/160119	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2003:00:24%20GMT	https://codingeek.net/html/gazania/assets/css/style.css	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/css/style.css	(from https://codingeek.net/html/gazania/)
22:38:41	57974/57974	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2003:00:22%20GMT	https://codingeek.net/html/gazania/assets/css/responsive.css	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/css/responsive.css	(from https://codingeek.net/html/gazania/)
22:38:41	2588/2588	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Apr%202020%2010:06:26%20GMT	https://codingeek.net/codingeek-js/codingeek.css	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/codingeek-js/codingeek.css	(from https://codingeek.net/html/gazania/)
22:38:41	33496/33496	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202020%2003:02:14%20GMT	https://codingeek.net/html/gazania/assets/img/others/modal-1.png	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/others/modal-1.png	(from https://codingeek.net/html/gazania/)
22:38:41	39506/39506	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202020%2003:02:14%20GMT	https://codingeek.net/html/gazania/assets/img/others/modal-2.png	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/others/modal-2.png	(from https://codingeek.net/html/gazania/)
22:38:41	28058/28058	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202020%2003:02:15%20GMT	https://codingeek.net/html/gazania/assets/img/others/modal-3.png	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/others/modal-3.png	(from https://codingeek.net/html/gazania/)
22:38:42	6506/6506	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2008%20Jun%202020%2018:38:41%20GMT	https://codingeek.net/html/gazania/assets/img/icon/title.svg	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/icon/title.svg	(from https://codingeek.net/html/gazania/)
22:38:42	78009/78009	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202020%2003:02:15%20GMT	https://codingeek.net/html/gazania/assets/img/others/modal-4.png	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/others/modal-4.png	(from https://codingeek.net/html/gazania/)
22:38:42	70526/70526	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2018:38:41%20GMT	https://codingeek.net/html/gazania/index.html	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/index-2.html	(from https://codingeek.net/html/gazania/)
22:38:42	4175/4175	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202020%2003:00:45%20GMT	https://codingeek.net/html/gazania/assets/img/logo.png	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/assets/img/logo.png	(from https://codingeek.net/html/gazania/)
22:38:43	70035/70035	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2018:38:42%20GMT	https://codingeek.net/html/gazania/index-2.html	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/index-3.html	(from https://codingeek.net/html/gazania/)
22:38:43	70567/70567	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2018:38:42%20GMT	https://codingeek.net/html/gazania/index-3.html	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/index-4.html	(from https://codingeek.net/html/gazania/)
22:38:43	70402/70402	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2018:38:42%20GMT	https://codingeek.net/html/gazania/index-4.html	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/index-5.html	(from https://codingeek.net/html/gazania/)
22:38:43	63995/63995	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2018:38:43%20GMT	https://codingeek.net/html/gazania/index-5.html	C:/My%20Web%20Sites/new%20ffrose/codingeek.net/html/gazania/index-6.html	(from https://codingeek.net/html/gazania/)
